Pos -15.7 ;Beat 1
Pos 261.5989 ;Beat 98
Pos 264.4295 ;Beat 99
Pos 267.1591 ;Beat 100
Pos 269.9897 ;Beat 101
Pos 272.8204 ;Beat 102
Pos 275.7733 ;Beat 103
Pos 278.6034 ;Beat 104
Pos 281.4341 ;Beat 105
Pos 284.2647 ;Beat 106
Pos 286.9549 ;Beat 107
Pos 289.8049 ;Beat 108
Pos 292.6356 ;Beat 109
Pos 295.5674 ;Beat 110
Pos 298.345 ;Beat 111
Pos 301.1756 ;Beat 112
Pos 304.0298 ;Beat 113
Pos 306.8604 ;Beat 114
Pos 309.6911 ;Beat 115
Pos 312.4206 ;Beat 116
Pos 315.4535 ;Beat 117
Pos 318.2313 ;Beat 118
Pos 320.9608 ;Beat 119
Pos 323.7915 ;Beat 120
Pos 326.7233 ;Beat 121
Pos 329.5539 ;Beat 122
Pos 332.2915 ;Beat 123
Pos 335.2233 ;Beat 124
Pos 338.054 ;Beat 125
Pos 340.8279 ;Beat 126
Pos 343.6586 ;Beat 127
Pos 346.5237 ;Beat 128
Pos 349.3543 ;Beat 129
Pos 352.0839 ;Beat 130
Pos 355.0157 ;Beat 131
Pos 357.9294 ;Beat 132
Pos 360.694 ;Beat 133
Pos 363.4235 ;Beat 134
Pos 366.2542 ;Beat 135
Pos 369.0848 ;Beat 136
Pos 371.962 ;Beat 137
Pos 374.8212 ;Beat 138
Pos 377.6518 ;Beat 139
Pos 380.4825 ;Beat 140
Pos 383.3131 ;Beat 141
Pos 386.0717 ;Beat 142
Pos 389.111 ;Beat 143
Pos 391.8653 ;Beat 144
Pos 394.7971 ;Beat 145
Pos 397.6438 ;Beat 146
Pos 400.4744 ;Beat 147
Pos 403.2342 ;Beat 148
Pos 406.0649 ;Beat 149
Pos 408.8955 ;Beat 150
Pos 411.8273 ;Beat 151
Pos 414.6579 ;Beat 152
Pos 417.4563 ;Beat 153
Pos 420.1859 ;Beat 154
Pos 423.1176 ;Beat 155
Pos 425.9482 ;Beat 156
Pos 428.6778 ;Beat 157
Pos 431.632 ;Beat 158
Pos 434.4626 ;Beat 159
Pos 437.2933 ;Beat 160
Pos 440.124 ;Beat 161
Pos 442.9546 ;Beat 162
Pos 445.7036 ;Beat 163
Pos 448.4331 ;Beat 164
Pos 451.466 ;Beat 165
Pos 454.2966 ;Beat 166
Pos 457.1273 ;Beat 167
Pos 459.8686 ;Beat 168
Pos 462.6992 ;Beat 169
Pos 465.5299 ;Beat 170
Pos 468.3605 ;Beat 171
Pos 471.2923 ;Beat 172
Pos 474.0598 ;Beat 173
Pos 476.8905 ;Beat 174
Pos 479.7211 ;Beat 175
Pos 482.5518 ;Beat 176
Pos 485.2814 ;Beat 177
Pos 488.2199 ;Beat 178
Pos 491.1517 ;Beat 179
Pos 493.8813 ;Beat 180
Pos 496.7119 ;Beat 181
Pos 499.5426 ;Beat 182
Pos 502.3461 ;Beat 183
Pos 505.1768 ;Beat 184
Pos 508.0074 ;Beat 185
Pos 510.9392 ;Beat 186
Pos 513.6705 ;Beat 187
Pos 516.5088 ;Beat 188
Pos 519.4406 ;Beat 189
Pos 522.2712 ;Beat 190
Pos 525.0008 ;Beat 191
Pos 527.8314 ;Beat 192
Pos 530.7743 ;Beat 193
Pos 533.6049 ;Beat 194
Pos 536.3345 ;Beat 195
Pos 539.3674 ;Beat 196
Pos 542.1505 ;Beat 197
Pos 544.9148 ;Beat 198
Pos 547.7454 ;Beat 199
Pos 550.6772 ;Beat 200
Pos 553.5079 ;Beat 201
Pos 556.3401 ;Beat 202
Pos 559.0777 ;Beat 203
Pos 561.9084 ;Beat 204
Pos 564.739 ;Beat 205
Pos 567.6708 ;Beat 206
Pos 570.5015 ;Beat 207
Pos 573.3425 ;Beat 208
Pos 576.1731 ;Beat 209
Pos 578.9026 ;Beat 210
Pos 581.8345 ;Beat 211
Pos 584.665 ;Beat 212
Pos 587.6125 ;Beat 213
Pos 590.2866 ;Beat 214
Pos 593.1172 ;Beat 215
Pos 595.9478 ;Beat 216
Pos 598.8796 ;Beat 217
Pos 601.6229 ;Beat 218
Pos 604.4536 ;Beat 219
Pos 607.3853 ;Beat 220
Pos 610.1149 ;Beat 221
Pos 612.8902 ;Beat 222
Pos 615.8311 ;Beat 223
Pos 618.6617 ;Beat 224
Pos 621.3912 ;Beat 225
Pos 624.2219 ;Beat 226
Pos 627.1536 ;Beat 227
Pos 630.0493 ;Beat 228
Pos 632.7788 ;Beat 229
Pos 635.6141 ;Beat 230
Pos 638.4448 ;Beat 231
Pos 641.2754 ;Beat 232
Pos 644.0093 ;Beat 233
Pos 647.0422 ;Beat 234
Pos 649.8729 ;Beat 235
Pos 652.7035 ;Beat 236
Pos 655.4331 ;Beat 237
Pos 658.2735 ;Beat 238
Pos 661.1042 ;Beat 239
Pos 663.8337 ;Beat 240
Pos 666.8666 ;Beat 241
Pos 669.5961 ;Beat 242
Pos 672.4362 ;Beat 243
Pos 675.2669 ;Beat 244
Pos 677.9965 ;Beat 245
Pos 680.9282 ;Beat 246
Pos 683.7589 ;Beat 247
Pos 686.6062 ;Beat 248
Pos 689.538 ;Beat 249
Pos 692.3686 ;Beat 250
Pos 693.3795 ;Beat 251
Pos 698.0252 ;Beat 252
Pos 700.8669 ;Beat 253
Pos 703.7986 ;Beat 254
Pos 706.6293 ;Beat 255
Pos 709.46 ;Beat 256
Pos 712.2906 ;Beat 257
Pos 715.0296 ;Beat 258
Pos 717.8603 ;Beat 259
Pos 720.5898 ;Beat 260
Pos 723.6227 ;Beat 261
Pos 726.4991 ;Beat 262
Pos 729.1702 ;Beat 263
Pos 732.0008 ;Beat 264
Pos 734.8315 ;Beat 265
Pos 737.6621 ;Beat 266
Pos 740.3917 ;Beat 267
Pos 743.3966 ;Beat 268
Pos 746.2735 ;Beat 269
Pos 749.1042 ;Beat 270
Pos 751.8337 ;Beat 271
Pos 754.6644 ;Beat 272
Pos 757.5231 ;Beat 273
Pos 760.3538 ;Beat 274
Pos 763.1844 ;Beat 275
Pos 766.0151 ;Beat 276
Pos 768.8458 ;Beat 277
Pos 771.5991 ;Beat 278
Pos 774.5308 ;Beat 279
Pos 777.3615 ;Beat 280
Pos 780.1546 ;Beat 281
Pos 782.9853 ;Beat 282
Pos 785.8221 ;Beat 283
Pos 788.6528 ;Beat 284
Pos 791.5845 ;Beat 285
Pos 794.3141 ;Beat 286
Pos 797.1448 ;Beat 287
Pos 799.984 ;Beat 288
Pos 802.9158 ;Beat 289
Pos 805.6523 ;Beat 290
Pos 808.4829 ;Beat 291
Pos 811.3136 ;Beat 292
Pos 814.1546 ;Beat 293
Pos 816.9852 ;Beat 294
Pos 819.7148 ;Beat 295
Pos 822.7477 ;Beat 296
Pos 825.4772 ;Beat 297
Pos 828.351 ;Beat 298
Pos 831.1403 ;Beat 299
Pos 833.9709 ;Beat 300
Pos 836.7004 ;Beat 301
Pos 839.8344 ;Beat 302
Pos 842.7092 ;Beat 303
Pos 845.5398 ;Beat 304
Pos 848.2693 ;Beat 305
Pos 851.1 ;Beat 306
Pos 853.9307 ;Beat 307
Pos 856.719 ;Beat 308
Pos 859.6508 ;Beat 309
Pos 862.4814 ;Beat 310
Pos 865.3121 ;Beat 311
Pos 868.1427 ;Beat 312
Pos 870.8985 ;Beat 313
Pos 873.7292 ;Beat 314
Pos 876.5598 ;Beat 315
Pos 879.4299 ;Beat 316
Pos 882.2606 ;Beat 317
Pos 885.1335 ;Beat 318
Pos 887.9642 ;Beat 319
Pos 890.6937 ;Beat 320
Pos 893.5244 ;Beat 321
Pos 896.355 ;Beat 322
Pos 899.334 ;Beat 323
Pos 902.1647 ;Beat 324
Pos 904.9953 ;Beat 325
Pos 907.7249 ;Beat 326
Pos 910.5555 ;Beat 327
Pos 913.397 ;Beat 328
Pos 916.1266 ;Beat 329
Pos 919.1594 ;Beat 330
Pos 921.889 ;Beat 331
Pos 924.7197 ;Beat 332
Pos 927.5596 ;Beat 333
Pos 930.3903 ;Beat 334
Pos 933.1198 ;Beat 335
Pos 935.997 ;Beat 336
Pos 938.9288 ;Beat 337
Pos 941.7684 ;Beat 338
Pos 944.5991 ;Beat 339
Pos 947.3287 ;Beat 340
Pos 950.1594 ;Beat 341
Pos 953.0355 ;Beat 342
Pos 955.7983 ;Beat 343
Pos 958.73 ;Beat 344
Pos 961.6303 ;Beat 345
Pos 964.3599 ;Beat 346
Pos 967.1906 ;Beat 347
Pos 970.0336 ;Beat 348
Pos 972.8642 ;Beat 349
Pos 975.796 ;Beat 350
Pos 978.5255 ;Beat 351
Pos 981.3562 ;Beat 352
Pos 984.2944 ;Beat 353
Pos 987.0239 ;Beat 354
Pos 989.9557 ;Beat 355
Pos 992.7863 ;Beat 356
Pos 995.7181 ;Beat 357
Pos 998.5835 ;Beat 358
Pos 1001.414 ;Beat 359
Pos 1004.189 ;Beat 360
Pos 1007.02 ;Beat 361
Pos 1009.749 ;Beat 362
Pos 1012.586 ;Beat 363
Pos 1015.619 ;Beat 364
Pos 1018.45 ;Beat 365
Pos 1021.179 ;Beat 366
Pos 1024.01 ;Beat 367
Pos 1026.777 ;Beat 368
Pos 1029.608 ;Beat 369
Pos 1032.439 ;Beat 370
Pos 1035.37 ;Beat 371
Pos 1038.201 ;Beat 372
Pos 1040.935 ;Beat 373
Pos 1043.766 ;Beat 374
Pos 1046.641 ;Beat 375
Pos 1049.471 ;Beat 376
Pos 1052.201 ;Beat 377
Pos 1055.166 ;Beat 378
Pos 1057.996 ;Beat 379
Pos 1060.859 ;Beat 380
Pos 1063.589 ;Beat 381
Pos 1066.419 ;Beat 382
Pos 1069.258 ;Beat 383
Pos 1072.089 ;Beat 384
Pos 1075.021 ;Beat 385
Pos 1077.851 ;Beat 386
Pos 1080.682 ;Beat 387
Pos 1083.476 ;Beat 388
